_id;condition;envCond;envNoise1;envNoise11;envNoise21;envNoise31;envNoise41;envNoise51;file;rating;timeSecQA;timeStampQA;trapQx;trapQxSF;user
5d650fc3847cf4156531762c;c32;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;CH_m2_s1_c32_IRS_EVRC-A.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
5d650fc3847cf4156531762d;c47;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;CH_m2_s2_c47_Skype_1xTor_acoustRcv_scaled.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
5d650fc3847cf4156531762e;c33;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;CH_f2_s3_c33_BabbleNoise18dBSNR_IRS_EVRC-A_codecNS.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
5d650fc3847cf4156531762f;c06;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;CH_m1_s1_c06_-36dBASL.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
5d650fc3847cf41565317630;c43;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;Schlecht_f_CH_f1_s3_c43_Skype_1xTor_acoustSend_scaled.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
5d650fc3847cf41565317631;c02;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;CH_m2_s2_c02_Hoth12dBSNR.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
5d650fc3847cf41565317632;c03;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;CH_f1_s1_c03_Babble20dBSNR.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
5d650fc3847cf41565317633;c48;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;CH_m2_s3_c48_Skype_1xTor_-8dB_acoustRcv_scaled.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
5d650fc3847cf41565317634;c01;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;CH_m1_s2_c01_SWB.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
5d650fc3847cf41565317635;c46;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;CH_f1_s2_c46_Skype_1xTor_acoustSend_+5dB.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
5d650fc3847cf41565317636;c47;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;CH_f1_s2_c47_Skype_1xTor_acoustRcv_scaled.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
5d650fc3847cf41565317637;c03;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;CH_m1_s1_c03_Babble20dBSNR.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
5d650fc3847cf41565317638;c46;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;CH_m1_s2_c46_Skype_1xTor_acoustSend_+5dB.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
5d650fc3847cf41565317639;c07;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;CH_f1_s3_c07_-46dBASL.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
5d650fc3847cf4156531763a;c43;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;Schlecht_f_CH_f1_s3_c43_Skype_1xTor_acoustSend_scaled.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
5d650fc3847cf4156531763b;c32;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;CH_f2_s1_c32_IRS_EVRC-A.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
5d650fc3847cf4156531763c;c32;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;CH_f1_s1_c32_IRS_EVRC-A.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
5d650fc3847cf4156531763d;c33;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;CH_f1_s3_c33_BabbleNoise18dBSNR_IRS_EVRC-A_codecNS.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
5d650fc3847cf4156531763e;c07;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;CH_m2_s3_c07_-46dBASL.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
5d650fc3847cf4156531763f;c02;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;CH_f1_s2_c02_Hoth12dBSNR.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
5d650fc3847cf41565317640;c45;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;CH_f2_s4_c45_Skype_1xTor_acoustSend_-8dB.48k.wav;4;286;2019-08-27T11:06:14.160Z;5;FAIL;99
5d650fc3847cf41565317641;c06;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;CH_f1_s1_c06_-36dBASL.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
